"1","8","一","Yī","One","2","If 一 is in numbers (eg. Phone numbers) it is pronounced yāo.","1"
"2","8","二","Èr","Two","3",,"1"
"3","8","三","Sān","Three","4",,"1"
"4","8","四","sì","Four","5",,"1"
"5","8","五","wǔ","Five","6",,"1"
"6","8","六","liù","six","7","六 looks like a robot to me (with head, arms and legs). I imagine a robot with six packs.","1"
"7","8","七","qī","Seven","8","七 looks like an inverted 7.","1"
"8","8","八","bā","Eight","9",,"1"
"9","8","九","jiǔ","Nine","10","In Hong Kong, there is a region called Kowloon (九龙 in Mandarin）. It means nine dragons.","1"
"10","8","十","shí","ten","11",,"1"
"11","8","零","línɡ","zero","12","The top part of zero is rain (雨), and the bottom part is the same as the first word of today (今天)","1"
"12","8","百","bǎi","hundred","13",,"1"
"13","8","千","qiān","thousand","14",,"1"
"14","8","万","wàn","ten thousand","1",,"1"
"15","8","几","jǐ","how many","1",,"1"
"16","8","个","gè","a measure word","1","There are other measure words for different things as well.","1"
"17","8","月","yuè","month/moon","16","月 is a picture of a crescent moon in oracle bone script.","1"
"18","8","日","rì","sun/ date (written)","17","The ancient version of 日 is a circle with a dot in the middle, representing the sun.","1"
"19","8","号","hào","date (spoken)","18","If it is written, the date is 日(rì), not 号.","1"
"20","8","每天","měitiān","everyday","1",,"1"
"21","8","今天","jīntiān","today","1",,"1"
"22","8","昨天","zuótiān","yesterday","1",,"1"
"23","8","明天","míngtiān","tomorrow","1","明 in 明天 is a combination of the sun (日）and the moon (月). When the sun and moon shines together, they are brighter. This means tomorrow is always brighter!","1"
"24","25","什么","shénme","what","1",,"1"
"25","26","是","shì","am,is,are","1",,"1"
"26","8","星期一","xīngqīyī","Monday","1","Another way to say is to write 周一 (zhōuyī).","1"
"27","8","星期二","xīngqīèr","Tuesday","1",,"1"
"28","8","星期三","xīngqīsān","Wednesday","1",,"1"
"29","8","星期四","xīngqīsì","Thursday","1",,"1"
"30","8","星期五","xīngqīwǔ","Friday","1",,"1"
"31","8","星期六","xīngqīliù","Saturday","1",,"1"
"32","8","星期日","xīngqīrì","Sunday","1","Or you can say星期天 (xīng qī tiān) - both are fine.","1"
"33","26","快乐","kuàilè","Happy/ Joyful","19","快乐 is a combination of 快 (quick) and 乐(happy), it implies that happy times gone fast. So philosophical.","1"
"34","25","哪一","nǎyī","which one","1","A similar character for 哪 (nǎ - which) is 那 (nā - that).","1"
"35","8","出生","chūshēng","born","20",,"1"
"36","25","多大","duōdà","how old","1",,"1"
"37","8","岁","suì","years old","1",,"1"
"38","8","属","shǔ","born in the year of","1","The Chinese has twelve animals to represent different years. So, if you are born in 2000, you are a dragon because 2000 is the year of the dragon.","1"
"39","26","姓名","xìngmíng","name","1",,"1"
"40","26","年龄","niánlíng","age","1",,"1"
"41","26","名字","míngzi","name (containing family name and given name)","1",,"1"
"42","26","好","Hǎo","good","1","好 (hǎo) “good” combines 女 (woman) and 子 (child; son). This character comes from the ancient idea that women were only “good” once they had given birth to a child.","1"
"43","26","叫","jiào","to be called","1",,"1"
"44","27","我","Wǒ","I, me","21",,"1"
"45","27","她","Tā","she, her","22","Note that 她 has the female radical (女) at the front.","1"
"46","27","他","Tā","he,him","23",,"1"
"47","26","和","Hé","and","1",,"1"
"48","26","的","de","possessive particle","1","的 literally means ('s) in English. For example - 我的 means my. ","1"
"49","26","汉子","Hànzi","Chinese Characters","24","汉 (Hàn) refers to the Han people of China.","1"
"50","27","你","Nǐ","you","25","To be more polite, Beijing people use 您(nín) instead of 你.","1"
